sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
부산광역시,연제구,부산광역시 연제구,52,298774.46153846156,199402.9423076923,498177.4038461539,40.02649272492325,29.877446153846154,19.940294230769233,49.81774038461539
경상남도,창원시 의창구,경상남도 창원시 의창구,52,314308.1923076923,180142.88461538462,494451.07692307694,36.43290368308975,31.43081923076923,18.014288461538463,49.445107692307694
광주광역시,남구,광주광역시 남구,52,350463.8461538461,143615.98076923078,494079.82692307694,29.067363803054093,35.04638461538461,14.361598076923078,49.40798269230769
대구광역시,중구,대구광역시 중구,52,157277.96153846153,334265.92307692306,491543.8846153846,68.00327163839584,15.727796153846153,33.4265923076923,49.15438846153846
울산광역시,북구,울산광역시 북구,52,310827.07692307694,160807.65384615384,471634.73076923075,34.09580409480838,31.082707692307693,16.080765384615383,47.163473076923076
경기도,안성시,경기도 안성시,52,301598.3076923077,156756.13461538462,458354.4423076923,34.19976335915047,30.15983076923077,15.675613461538463,45.835444230769234
부산광역시,강서구,부산광역시 강서구,52,196331.75,259591.61538461538,455923.3653846154,56.93755466242113,19.633175,25.959161538461537,45.59233653846154
울산광역시,중구,울산광역시 중구,52,329306.8846153846,120857.96153846153,450164.8461538461,26.847489885329185,32.93068846153846,12.085796153846154,45.01648461538461
부산광역시,수영구,부산광역시 수영구,52,255742.5,192525.73076923078,448268.23076923075,42.94877877891448,25.57425,19.252573076923078,44.82682307692308
경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,52,314640.75,129498.21153846153,444138.96153846156,29.157138362707514,31.464075,12.949821153846154,44.41389615384615
경기도,성남시 중원구,경기도 성남시 중원구,52,297159.1346153846,145101.61538461538,442260.75,32.80906464899166,29.715913461538463,14.510161538461537,44.226075
경기도,부천시 소사구,경기도 부천시 소사구,52,315689.03846153844,124651.65384615384,440340.6923076923,28.308002422599703,31.568903846153844,12.465165384615384,44.034069230769234
충청북도,청주시 서원구,충청북도 청주시 서원구,52,278942.6346153846,154985.48076923078,433928.1153846154,35.716856150668704,27.89426346153846,15.498548076923077,43.39281153846154
충청북도,청주시 상당구,충청북도 청주시 상당구,52,288723.0,144472.07692307694,433195.07692307694,33.35035059706624,28.8723,14.447207692307694,43.319507692307695
대구광역시,서구,대구광역시 서구,52,282218.8846153846,150829.4423076923,433048.32692307694,34.82970212109476,28.221888461538462,15.08294423076923,43.30483269230769
경기도,오산시,경기도 오산시,52,308585.57692307694,122603.09615384616,431188.67307692306,28.433746943991277,30.858557692307695,12.260309615384616,43.118867307692305
경기도,구리시,경기도 구리시,52,281959.5576923077,138928.07692307694,420887.6346153846,33.008353179592014,28.195955769230768,13.892807692307693,42.08876346153846
경상남도,창원시 진해구,경상남도 창원시 진해구,52,318789.53846153844,99529.92307692308,418319.46153846156,23.79280244597752,31.878953846153845,9.952992307692307,41.831946153846154
충청북도,청주시 청원구,충청북도 청주시 청원구,52,257175.21153846153,157797.78846153847,414973.0,38.026037467868626,25.717521153846153,15.779778846153846,41.4973
경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,52,276702.4038461539,130351.71153846153,407054.1153846154,32.02318969685282,27.670240384615386,13.035171153846154,40.70541153846154
충청남도,서산시,충청남도 서산시,52,319992.48076923075,79148.84615384616,399141.32692307694,19.829779783515082,31.999248076923074,7.914884615384616,39.914132692307696
