C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
철원군,Cheorwon-gun,17.0,2008.0,2024.0,7301.0,11487.0,4186.0,57.33,236.3,0.024,0.982,51780.0,older,65세 이상 고령층 인구,완만한 증가,32360,철원군,global_exact_name
화천군,Hwacheon-gun,17.0,2008.0,2024.0,4122.0,6380.0,2258.0,54.78,130.1,0.013,0.948,51790.0,older,65세 이상 고령층 인구,완만한 증가,32370,화천군,global_exact_name
양구군,Yanggu-gun,17.0,2008.0,2024.0,3515.0,5488.0,1973.0,56.13,112.4,0.011,0.941,51800.0,older,65세 이상 고령층 인구,완만한 증가,32380,양구군,global_exact_name
인제군,Inje-gun,17.0,2008.0,2024.0,4861.0,7993.0,3132.0,64.43,178.5,0.018,0.909,51810.0,older,65세 이상 고령층 인구,완만한 증가,32390,인제군,global_exact_name
고성군,Goseong-gun,17.0,2008.0,2024.0,5873.0,9123.0,3250.0,55.34,188.6,0.019,0.976,51820.0,older,65세 이상 고령층 인구,완만한 증가,32400,고성군,province_exact_name
양양군,Yangyang-gun,17.0,2008.0,2024.0,5540.0,9704.0,4164.0,75.16,254.6,0.025,0.975,51830.0,older,65세 이상 고령층 인구,완만한 증가,32410,양양군,global_exact_name
충주시,Chungju-si,17.0,2008.0,2024.0,28263.0,50480.0,22217.0,78.61,1338.1,0.134,0.955,43130.0,older,65세 이상 고령층 인구,증가,33020,충주시,global_exact_name
제천시,Jecheon-si,17.0,2008.0,2024.0,19051.0,35347.0,16296.0,85.54,989.9,0.099,0.965,43150.0,older,65세 이상 고령층 인구,완만한 증가,33030,제천시,global_exact_name
상당구,Sangdang-gu,17.0,2008.0,2024.0,21367.0,37195.0,15828.0,74.08,872.3,0.087,0.804,43111.0,older,65세 이상 고령층 인구,완만한 증가,33041,청주시상당구,suffix_name
서원구,Seowon-gu,11.0,2014.0,2024.0,22880.0,35931.0,13051.0,57.04,1332.3,0.133,0.985,43112.0,older,65세 이상 고령층 인구,증가,33042,청주시서원구,suffix_name
