C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,8600.0,37090,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Mungyeong-si,문경시,개,101
행정구역별,8944.0,37090,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Mungyeong-si,문경시,개,101
행정구역별,9345.0,37090,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Mungyeong-si,문경시,개,101
행정구역별,71406.0,37090,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Mungyeong-si,문경시,명,101
행정구역별,71154.0,37090,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Mungyeong-si,문경시,명,101
행정구역별,70373.0,37090,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Mungyeong-si,문경시,명,101
행정구역별,68755.0,37090,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Mungyeong-si,문경시,명,101
행정구역별,67257.0,37090,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Mungyeong-si,문경시,명,101
행정구역별,116.5,37090,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Mungyeong-si,문경시,개,101
행정구역별,121.5,37090,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Mungyeong-si,문경시,개,101
행정구역별,122.2,37090,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Mungyeong-si,문경시,개,101
행정구역별,130.1,37090,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Mungyeong-si,문경시,개,101
행정구역별,138.9,37090,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Mungyeong-si,문경시,개,101
행정구역별,29875.0,37100,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Gyeongsan-si,경산시,개,101
행정구역별,30358.0,37100,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Gyeongsan-si,경산시,개,101
행정구역별,30880.0,37100,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Gyeongsan-si,경산시,개,101
행정구역별,31082.0,37100,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Gyeongsan-si,경산시,개,101
행정구역별,31094.0,37100,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Gyeongsan-si,경산시,개,101
행정구역별,263728.0,37100,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Gyeongsan-si,경산시,명,101
행정구역별,268369.0,37100,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Gyeongsan-si,경산시,명,101
행정구역별,267725.0,37100,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Gyeongsan-si,경산시,명,101
행정구역별,266205.0,37100,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Gyeongsan-si,경산시,명,101
행정구역별,266398.0,37100,A,,T002,DT_1YL20842,주민등록인구(B),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Gyeongsan-si,경산시,명,101
행정구역별,113.3,37100,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Gyeongsan-si,경산시,개,101
행정구역별,113.1,37100,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Gyeongsan-si,경산시,개,101
행정구역별,115.3,37100,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2022,2024-02-05,Gyeongsan-si,경산시,개,101
행정구역별,116.8,37100,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2023,2025-02-11,Gyeongsan-si,경산시,개,101
행정구역별,116.7,37100,A,Each                          ,T10,DT_1YL20842,인구천명당 사업체수(A÷B×1000),인구 천명당 사업체수(등록기반)(시도/시/군/구),2024,2026-02-13,Gyeongsan-si,경산시,개,101
행정구역별,3167.0,37310,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2020,2023-10-12,Gunwi-gun,군위군,개,101
행정구역별,3321.0,37310,A,Each                          ,T001,DT_1YL20842,사업체수(A),인구 천명당 사업체수(등록기반)(시도/시/군/구),2021,2023-10-12,Gunwi-gun,군위군,개,101
